Link,Mobile Name,Price,Rating,Comments,Seller Name,Positive Seller Ratings,Ship on Time,Chat Response Rate
https://www.daraz.pk/products/y02-t-4-gb-64-gb-5-mp-8-mp-i427595776-s2031601043.html?search=1,Vivo Y02 T RAM 4 GB ROM 64 GB Front Camera 5 MP Back Camera 8 MP Battery Type 5000 mAh,"Rs. 39,890",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/6gb-6gb-y17s-128-664-5000mah-i434277493-s2082823249.html?search=1,Vivo Y17s - 6GB + 6GB Expendable RAM 128 ROM - 6.64 Inch Display - 5000mAh Battery,"Rs. 45,499",4.0,['good 💯😊'],Kashif Electronics (Karachi),89%,93%,100%
https://www.daraz.pk/products/a14-6gb-128-gb-pta-1-i428260915-s2035598256.html?search=1,"Samsung Galaxy A14 - 6GB ROM 128 GB - PTA Approved, 1 Year Official Warranty","Rs. 57,199",,[],Mobile Arena (Karachi),89%,46%,91%
https://www.daraz.pk/products/10-4gb-128gb-hd-90hz-66-mah-18-8mp-50mp-pta-i435539809-s2089987414.html?search=1,"Tecno Spark 10 - 4GB RAM 128GB ROM - 6.6"" HD+90Hz Refresh Rate - 5000mAh Battery - 18W Fast Charge - 8MP Selfie Camera - 50MP Ultra Clear Rear Camera - PTA Approved","Rs. 33,499",,[],Kashif Electronics (Karachi),89%,93%,100%
https://www.daraz.pk/products/20-i-4-gb-128-8-mp-13-mp-af-i419714386-s1984722187.html?search=1,Infinix Hot 20 i RAM 4 GB ROM 128 Front Camera 8 MP Back Camera 13 MP AF Triple Camera,"Rs. 42,000",,[],Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/y-16-4-gb-64-gb-5-mp-13-mp-2-mp-5000-mah-i385227136-s1905556521.html?search=1,Vivo Y 16 RAM 4 GB ROM 64 GB Camera Front 5 MP Back 13 MP + 2 MP Battery 5000 mAh,"Rs. 39,990",,[],ALSAEED COMMUNICATION KHANEWAL,95%,70%,97%
https://www.daraz.pk/products/4gb-a04-64gb-50mp-5000mah-i432610944-s2065367155.html?search=1,"Samsung A04 , 4GB RAM 64GB ROM , 50MP Main Camera , 5000mAh Battery Capacity","Rs. 39,399",,[],Mobile Dot,88%,60%,59%
https://www.daraz.pk/products/8gb-a24-1-000-gb-128-66-mah-i424281029-s2010272727.html?search=1,Samsung A24 - 8GB RAM 128GB ROM - 6.6 Inches - Super AMOLED Display - 5000mAh Battery,"Rs. 79,999",,[],Kashif Electronics (Karachi),89%,93%,100%
https://www.daraz.pk/products/5-lte-652-2-gb-32-gb-1-pta-i261022192-s1879180217.html?search=1,Tecno Spark 7t 4GB RAM 64 GB ROM Dual Sim 1 Year Warranty-Pta Approved,"Rs. 36,999",5.0,"['highly satisfied', 'V.nice awesome mobile in reasonable price seller send exact product. Light in weight. i like it.', 'very good seller.', 'nice phone', '', '']",AL-KHAIR TRADING PAKISTAN,96%,100%,Not enough data
https://www.daraz.pk/products/tecno-spark-8c-66-inch-display-4gb-ram-128gb-rom-i422527266-s1999002161.html?search=1,"Tecno Spark 8C - 6.6"" Inch Display - 4GB RAM - 128GB ROM","Rs. 30,590",,[],New All In One,78%,95%,45%
